content_id,title,중분류,소분류
yongsan_115,돈까스잔치 동빙고점,한식,관광식당
yongsan_116,이촌동면옥,한식,관광식당
yongsan_117,평양집,한식,관광식당
yongsan_118,쏭타이 본점,외국식,기타외국식
yongsan_119,나리의 집,한식,관광식당
yongsan_120,동빙고 본점,카페/ 찻집,카페
yongsan_121,오스테리아 오르조,외국식,서양식
yongsan_122,Summer Lane,카페/ 찻집,카페
yongsan_123,한입소반,간이음식,김밥 분식
yongsan_124,종점숯불갈비,한식,관광식당
yongsan_125,소설한남,한식,관광식당
yongsan_126,뇨끼바,외국식,서양식
yongsan_127,단박왕돈까스,외국식,서양식
yongsan_128,단비,한식,관광식당
yongsan_129,부첼리하우스,외국식,서양식
yongsan_130,카페미우,카페/ 찻집,카페
yongsan_131,한강회관,한식,관광식당
yongsan_132,한남동감자탕,한식,관광식당
yongsan_133,mtl 효창,카페/ 찻집,카페
yongsan_134,로코스 비비큐 경리단길본점,외국식,서양식
yongsan_135,셰프테이너,외국식,서양식
yongsan_136,쌍대포소금구이 본점,한식,관광식당
yongsan_137,오츠커피 용산점,카페/ 찻집,카페
yongsan_138,중식당 청 한남점,외국식,중식
yongsan_139,휴135,한식,관광식당
yongsan_140,마구로센 한남점,외국식,일식
yongsan_141,백년손님,한식,관광식당
yongsan_142,스즈란테이,외국식,일식
yongsan_143,오복함흥냉면,한식,관광식당
yongsan_144,초원,한식,관광식당
yongsan_145,꾸띠자르당,외국식,서양식
yongsan_146,댓잎갈비 본점,한식,관광식당
yongsan_147,보광기사식당,한식,관광식당
yongsan_148,양인환대,한식,관광식당
yongsan_149,열정도쭈꾸미,한식,관광식당
yongsan_150,치즈플로,외국식,서양식
yongsan_151,크레이트커피,카페/ 찻집,카페
yongsan_152,한남작업실,카페/ 찻집,카페
yongsan_153,테이블포포,외국식,서양식
yongsan_154,베라 한남점,외국식,서양식
yongsan_155,하나일식,외국식,일식
yongsan_156,용호야채곱창,한식,관광식당
yongsan_157,꺼거,외국식,중식
yongsan_158,먼데이에디션,면세점,사후면세점
yongsan_159,클로체쥬얼리,면세점,사후면세점
yongsan_160,나이스클랍 롯데아울렛 서울역점,면세점,사후면세점
yongsan_161,린 롯데아울렛 서울역,면세점,사후면세점
yongsan_162,ZIP739 한남점,면세점,사후면세점
yongsan_163,페트라,외국식,기타외국식
yongsan_164,주사부,외국식,중식
yongsan_165,지오송지오 롯데아울렛 서울역점,면세점,사후면세점
yongsan_166,N기프트,면세점,사후면세점
yongsan_167,띠어리 복합 한남점,면세점,사후면세점
yongsan_168,몽벨 용산직영점,면세점,사후면세점
yongsan_169,금강제화 상설아울렛 남영점,면세점,사후면세점
yongsan_170,나이키골프 아이파크몰 용산점,면세점,사후면세점
yongsan_171,올리브영 숙대점,면세점,사후면세점
yongsan_172,수트서플라이 한남점,면세점,사후면세점
yongsan_173,파라부트,면세점,사후면세점
yongsan_174,아이파크몰의원,면세점,사후면세점
yongsan_175,롯데마트 제타플렉스 롯데아울렛 서울역점,면세점,사후면세점
yongsan_176,센츄럴팜약국 서울역점,면세점,사후면세점
yongsan_177,멘드의원,면세점,사후면세점
yongsan_178,킨키로봇 한남점,면세점,사후면세점
yongsan_179,ABC마트 ST 이태원점,면세점,사후면세점
yongsan_180,나이키 이태원BB타운점,면세점,사후면세점
yongsan_181,나이키 롯데아울렛 서울역점,면세점,사후면세점
yongsan_182,닥스구두 롯데아울렛 서울역점,면세점,사후면세점
yongsan_183,정관장 한강로점,면세점,사후면세점
yongsan_184,올리브영 숙대입구역점,면세점,사후면세점
yongsan_185,정관장 한남점,면세점,사후면세점
yongsan_186,한스양복,면세점,사후면세점
yongsan_187,리버클래시 롯데아울렛 서울역점,면세점,사후면세점
yongsan_188,뉴발란스 롯데아울렛 서울역점,면세점,사후면세점
yongsan_189,비너스 롯데아울렛 서울역점,면세점,사후면세점
yongsan_190,이태원포스트,면세점,사후면세점
yongsan_191,뉴패션양복점,면세점,사후면세점
yongsan_192,러쉬 이태원역점,면세점,사후면세점
yongsan_193,ZARA 아이파크몰 용산점,면세점,사후면세점
yongsan_194,올리브영 신용산역점,면세점,사후면세점
yongsan_195,올젠 롯데아울렛 서울역점,면세점,사후면세점
yongsan_196,ZARA 롯데아울렛 서울역점,면세점,사후면세점
yongsan_197,이태원 블링크 안경,면세점,사후면세점
yongsan_198,디젤,면세점,사후면세점
yongsan_199,소다 롯데아울렛 서울역점,면세점,사후면세점
yongsan_200,올리브영 동부이촌점,면세점,사후면세점
yongsan_201,정관장 동부이촌점,면세점,사후면세점
yongsan_202,테일러블,면세점,사후면세점
yongsan_203,아디다스 퍼포먼스 롯데아울렛 서울역점,면세점,사후면세점
yongsan_204,K2 롯데아울렛 서울역점,면세점,사후면세점
yongsan_205,비비안 롯데아울렛 서울역점,면세점,사후면세점
yongsan_206,리스트 롯데아울렛 서울역점,면세점,사후면세점
yongsan_207,크록스 롯데아울렛 서울역점,면세점,사후면세점
yongsan_208,쌤소나이트 롯데아울렛 서울역점,면세점,사후면세점
yongsan_209,폴햄 롯데아울렛 서울역점,면세점,사후면세점
yongsan_210,SJSJ 롯데아울렛 서울역점,면세점,사후면세점
yongsan_211,블랙야크 롯데아울렛 서울역점,면세점,사후면세점
yongsan_212,파이너스뮤지엄 롯데아울렛 서울역점,면세점,사후면세점
yongsan_213,롯데아울렛 서울역점,면세점,사후면세점
yongsan_214,노스페이스 롯데아울렛 서울역점,면세점,사후면세점
yongsan_215,시슬리 롯데아울렛 서울역점,면세점,사후면세점
yongsan_216,베네통 롯데아울렛 서울역점,면세점,사후면세점
yongsan_217,엔포토,면세점,사후면세점
yongsan_218,지이크 롯데아울렛 서울역점,면세점,사후면세점
yongsan_219,네파 롯데아울렛 서울역점,면세점,사후면세점
yongsan_220,비이커 한남점,면세점,사후면세점
