tats_cd,association_name,district_code,content_id,place_title,match_method
224a3804cdf859de22b26c8c2c12141b,써미트호텔,140,2011019,써미트 호텔 서울,substring
131e35e51621edb0f07b2780806caef8,나인트리바이파르나스/서울인사동,110,264353,인사동,substring
ec60a9ad10af3a227cb25f83f5f55cca,신세계면세점/명동점,140,264311,명동,substring
b22f53c22db34ba88ea020bf5384b338,코트야드바이메리어트/서울명동,140,264311,명동,substring
55ae04320b01da059d71562e258b65b4,사직공원,110,127942,사직공원(서울),normalized
da4c87fdde280613facf191b6bb46cbd,산마루놀이터,110,2638477,산마루 놀이터,exact
1d97509dda804ea7abc88d81971a0322,북서울꿈의숲,305,822384,북서울꿈의숲,exact
1c8716fb93d94d198656ded9c95e4978,삼청공원,110,126488,삼청공원,exact
b31c98ba7ea80961714292b4ca1822fb,신라스테이/광화문,110,126512,광화문,substring
eb44975a2c5bec91cbfeeae3414348cb,조셉의커피나무,290,2839284,조셉의커피나무,exact
ee7345473b69a26c79af574ab951c82e,키미아트,110,639462,키미아트,exact
ce802f509749d23bb5308d756f987d94,N서울타워,170,135131,한쿡 N서울타워,substring
c2ef51dc9f9e99fa895b26780c2d9138,뮤지엄김치간,110,2469939,뮤지엄 김치간,exact
6f6a3dcea5ccb0c3edca2fcc8afdfbf9,아트조선스페이스,140,129768,아트조선스페이스,exact
b8e4bedd294358ad29db4726109d14a9,종로귀금속거리,110,132421,종로귀금속거리,exact
486f1abb40acf81ee99fedeb5f0d0cc8,오버스토리,290,2839237,오버스토리,exact
573a9e9e1b9bd917e12efb3fc996c079,이화만두,215,2875239,이화만두,exact
e57e9dfd7ece93066858eb29a7394ca8,서울교육박물관,110,130678,서울교육박물관,exact
ba455e1df16824c56c14148bf37edb9f,살곶이체육공원,200,753994,살곶이체육공원,exact
f96379f21f65f6e36c80047f7960ae5d,아우어베이커리/광화문디팰리스점,110,126512,광화문,substring
f6be2f00d17482debbf51b2a74ea7671,푸투라서울/휴업중(2026년08월오픈예정),110,3379703,푸투라서울,substring
373dd49ee07c817f4553db0b3c38d380,흥화문,110,1604784,경희궁 흥화문,substring
a0b33214294573276323fa7a692b00f0,화이트스톤갤러리,170,3407517,화이트스톤갤러리,exact
3704a8877737ebaeaaf0f52564616925,서소문성지역사박물관,140,2765202,서소문성지역사박물관,exact
9e383ec13943232ac364421a0770cd9b,조앤도슨/광화문점,110,126512,광화문,substring
1852beef721b5037439e4518fefa1faa,서울우리소리박물관,110,2678273,서울우리소리박물관,exact
c4ff49058293202d034e156456ba0d83,남영돈,170,2836064,남영돈,exact
a7818ca59283de7031fdc833f5cf90b3,우정,140,697423,우정,exact
9c837c33d2a06bdb3dbc0cd67a266f17,서순라길,110,3019162,서순라길,exact
b6e1a8223148d8c6dc0712a4de32e29d,반얀트리클럽앤스파서울,140,1045657,반얀트리 클럽 앤 스파 서울,exact
fc2d467db8e1198e18daec18ba3dc1ed,국시랑만두,110,2939571,국시랑만두,exact
f96d68fe917c07b2ef1c51d62bd775ac,북악정,110,582375,평창동 북악정,substring
b9986c7d44c4fdea2f0c07db3170411b,세종로공원,110,1604697,세종로공원,exact
95b241f19db74f3fa94c7ae6719584a3,아르코예술극장,110,130230,아르코예술극장,exact
0f82d647b9bebee7021e23e992ab0868,평양면옥/장충본점,140,133860,평양면옥,substring
787529db66fc4fed0f0762c2dff5a734,대학로예술극장,110,1380688,대학로예술극장,exact
3ab168604c257d9cfe06fef74ce5acbc,광진문화예술회관/나루아트센터,215,130699,나루아트센터,substring
d2b0a8a9f0512c32ddcd7d32e743ddc6,아르코미술관,110,130403,아르코미술관,exact
4ad99170855561c905cd752d5890235a,국립극장,140,130231,국립극장,exact
24c5e8d6b8e14a8061ca2d6eadf4784d,우리밀국시,290,2496495,우리밀국시,exact
de1dda3abaad9e49aabc8f2b7525e225,국립정동극장/세실,140,130353,국립정동극장,substring
c8f79047b2aca024c76c5c59071a0b41,NOL씨어터/대학로,110,126534,대학로,substring
fca98da10a8cbb5aa0ce10b9daaa4efe,제일콩집,350,402888,제일콩집,exact
26597ff882336a4ba58352407cd33ed2,KFC/대학로점,110,126534,대학로,substring
01f4d3dfa9e00fa8e1b39294cd3b84db,안국선원,110,2774286,안국선원(서울),normalized
c6b15d82b3a4a76d1d253ee3c7c27da9,몽중헌/광화문점 [중식],110,126512,광화문,substring
580fb82d73c7b1cc0b9b4c45a90a949d,한일관/광화문점,110,126512,광화문,substring
091c165f0c1e1a756edb723cb990c8cf,금왕돈까스,290,2039547,금왕돈까스,exact
09d7e08e1dfa6b8e1b75a64f49c4f8cc,무계원,110,3013272,무계원,exact
18a3e4338805b52c2ef8ecc77d28188b,안양암,110,337413,안양암(서울),normalized
ec726d1680d0c705518526ff2b1f74e7,와룡공원,110,1019041,와룡공원,exact
d48c67b0faf8192901484449d293a4d6,두가헌,110,562425,두가헌 레스토랑,substring
27b4afa16a5ba1c8833f49dd9ce59aee,아차산배수지체육공원,215,2773309,아차산배수지체육공원,exact
840192783460719715371521062bfdaa,모던샤브하우스/광화문D타워점,110,126512,광화문,substring
9af96cc6a5fa3e4ed882751de49903e3,엘림들깨수제비칼국수,305,2833385,엘림들깨수제비칼국수,exact
acb5329d44aa939655c89c85fe40ceb9,충무아트센터,140,130695,충무아트센터,exact
ff1b7da91c8becc05ccd75320569fe25,선동보리밥,290,2609645,선동보리밥,exact
eac2c104ef9c815cd992bb9b886a31f1,운현궁,110,127454,서울 운현궁,normalized
1a142e2fb56e754a60c89454f40a8c2c,유금와당박물관,110,2554142,유금와당박물관,exact
bd21072846707681f5c33d834e72699d,서울시립미술아카이브,110,2998547,서울시립 미술아카이브,exact
eb9a79157a8b91948e19fc3cc6c7e221,인사동문화의거리,110,132219,인사동 문화의 거리,exact
fbd86ba69f8963f1ea78714b83f852b8,더마켓키친/포시즌스호텔서울,110,3339644,포시즌스 호텔 서울(광화문미래에셋호텔),substring
36a3fc71d8b14b73d314625042354d2c,인왕사,110,348804,인왕사(서울),normalized
6ce15d51b2fa4dd337e1905cb9c70f9a,인왕산,110,126479,인왕산,exact
77049628e0b2e7f86a65f69921231f81,인왕산국사당,110,2764331,인왕산 국사당,exact
de8f8b478a62bae108f7df81a719e5c4,전태일기념관,110,2739478,전태일기념관,exact
2429915df59084dd6e53c4e0eef22815,마복림할머니막내아들네,140,2853937,마복림할머니 막내아들네,exact
faadff0a092bc15948a5efe01c27c88f,이디야커피/광화문점,110,126512,광화문,substring
b47160bd955f46c4030c8aef7f7dede1,연화사,230,337508,연화사(서울),normalized
60178628ec2da1df05d278cbbdcdbd24,뉴블랑센트럴명동호텔,140,264311,명동,substring
f027d9e869ac0923b9ae3e38661f12c9,스미스가좋아하는한옥,110,1947036,스미스가 좋아하는 한옥,exact
17216438ba76f35350cbfd4da7d23cff,호텔미드시티/명동,140,264311,명동,substring
6508af37144e9f59a56fd8d07e33bf94,종묘,110,126510,종묘 [유네스코 세계유산],normalized
15363134623f18baee3cd2fd0c4a2694,종묘광장공원,110,126492,종묘광장공원,exact
2fcab048af37f2c7e9c753c0f3f6bacf,황금정원,320,2832820,황금정원,exact
